#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
98404	853023	855836	33370	35923	YGR123C	YPL240C	PPT1	HSP82	-	HSP90	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
136695	851019	855836	31575	35923	YLR310C	YPL240C	CDC25	HSP82	CTN1	HSP90	Affinity Capture-Western	physical	Geymonat M (1998)	10094633	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
137014	851877	855836	32336	35923	YDR283C	YPL240C	GCN2	HSP82	AAS102|AAS1|NDR2	HSP90	Affinity Capture-Western	physical	Donze O (1999)	10567567	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
137015	855836	851877	35923	32336	YPL240C	YDR283C	HSP82	GCN2	HSP90	AAS102|AAS1|NDR2	Affinity Capture-Western	physical	Donze O (1999)	10567567	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
137104	855836	855119	35923	35269	YPL240C	YMR094W	HSP82	CTF13	HSP90	-	Affinity Capture-Western	physical	Stemmann O (2002)	12084919	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
137105	855836	851928	35923	32385	YPL240C	YDR328C	HSP82	SKP1	HSP90	MGO1	Affinity Capture-Western	physical	Stemmann O (2002)	12084919	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
138909	855836	851800	35923	32268	YPL240C	YDR214W	HSP82	AHA1	HSP90	-	Affinity Capture-Western	physical	Panaretou B (2002)	12504007	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139395	851746	855836	32219	35923	YDR168W	YPL240C	CDC37	HSP82	SMO1	HSP90	Affinity Capture-Western	physical	Abbas-Terki T (2000)	10664467	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139396	855836	851746	35923	32219	YPL240C	YDR168W	HSP82	CDC37	HSP90	SMO1	Affinity Capture-Western	physical	Abbas-Terki T (2000)	10664467	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139886	851800	855836	32268	35923	YDR214W	YPL240C	AHA1	HSP82	-	HSP90	Affinity Capture-Western	physical	Lotz GP (2003)	12604615	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
