#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
167070	855836	853550	35923	33842	YPL240C	YJR088C	HSP82	EMC2	HSP90	-	Synthetic Lethality	genetic	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
207814	855242	853550	35380	33842	YMR202W	YJR088C	ERG2	EMC2	END11	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-2.8015	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
207903	852872	853550	33234	33842	YGL012W	YJR088C	ERG4	EMC2	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-2.5115	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
208250	855355	853550	35487	33842	YMR307W	YJR088C	GAS1	EMC2	GGP1|CWH52	-	Positive Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	3.3383	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
208592	851686	853550	32166	33842	YDR108W	YJR088C	TRS85	EMC2	GSG1|MUM1	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-3.1913	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
209333	852864	853550	33226	33842	YGL020C	YJR088C	GET1	EMC2	MDM39	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-7.1021	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
209444	853595	853550	33886	33842	YJR131W	YJR088C	MNS1	EMC2	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-3.4509	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
210202	852709	853550	33087	33842	YGL167C	YJR088C	PMR1	EMC2	BSD1|SSC1|LDB1	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-2.5136	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
211113	855315	853550	35451	33842	YMR272C	YJR088C	SCS7	EMC2	FAH1	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-3.4736	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
211638	854126	853550	34369	33842	YOL031C	YJR088C	SIL1	EMC2	SLS1	-	Positive Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	3.0501	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
211799	852586	853550	32977	33842	YBR283C	YJR088C	SSH1	EMC2	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-8.0987	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
211881	853581	853550	33873	33842	YJR117W	YJR088C	STE24	EMC2	AFC1|PIO2	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-5.064	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
211933	851891	853550	32349	33842	YDR297W	YJR088C	SUR2	EMC2	SYR2	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-2.6381	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212748	854718	853550	34902	33842	YIL090W	YJR088C	ICE2	EMC2	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-5.3274	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212878	853550	852586	33842	32977	YJR088C	YBR283C	EMC2	SSH1	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212879	853550	852864	33842	33226	YJR088C	YGL020C	EMC2	GET1	-	MDM39	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-7.1021	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212880	853550	854718	33842	34902	YJR088C	YIL090W	EMC2	ICE2	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-5.3274	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212881	853550	853581	33842	33873	YJR088C	YJR117W	EMC2	STE24	-	AFC1|PIO2	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-5.064	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212882	853550	855315	33842	35451	YJR088C	YMR272C	EMC2	SCS7	-	FAH1	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
212883	853550	853595	33842	33886	YJR088C	YJR131W	EMC2	MNS1	-	-	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-3.4509	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
