#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
100612	851458	852864	31962	33226	YDL100C	YGL020C	GET3	GET1	ARR4	MDM39	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BioGRID
109477	856056	852864	36129	33226	YPL051W	YGL020C	ARL3	GET1	-	MDM39	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
109568	850728	852864	31315	33226	YLR039C	YGL020C	RIC1	GET1	-	MDM39	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
109706	850966	852864	31529	33226	YLR262C	YGL020C	YPT6	GET1	-	MDM39	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
109835	851136	852864	31676	33226	YLR418C	YGL020C	CDC73	GET1	-	MDM39	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
114246	856398	852864	36434	33226	YHR007C	YGL020C	ERG11	GET1	CYP51	MDM39	Synthetic Lethality	genetic	Parsons AB (2004)	14661025	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
164002	856681	852864	36698	33226	YEL031W	YGL020C	SPF1	GET1	COD1|PER9|PIO1	MDM39	Synthetic Lethality	genetic	Ando A (2005)	15909163	559292	559292	Low Throughput	-	-	inviable	-	-	BioGRID
167012	855836	852864	35923	33226	YPL240C	YGL020C	HSP82	GET1	HSP90	MDM39	Synthetic Lethality	genetic	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
182603	852864	851458	33226	31962	YGL020C	YDL100C	GET1	GET3	MDM39	ARR4	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BioGRID
182604	852864	856817	33226	36828	YGL020C	YER083C	GET1	GET2	MDM39	RMD7|HUR2	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BioGRID
205420	854247	852864	34479	33226	YOR080W	YGL020C	DIA2	GET1	YOR29-31	MDM39	Synthetic Lethality	genetic	Blake D (2006)	16751663	559292	559292	Low Throughput	-	-	inviable	-	-	BioGRID
205499	851458	852864	31962	33226	YDL100C	YGL020C	GET3	GET1	ARR4	MDM39	Affinity Capture-MS	physical	Auld KL (2006)	16816426	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
205501	852864	851458	33226	31962	YGL020C	YDL100C	GET1	GET3	MDM39	ARR4	Synthetic Rescue	genetic	Auld KL (2006)	16816426	559292	559292	Low Throughput	-	-	resistance to chemicals:wild type	-	-	BioGRID
206459	854163	852864	34405	33226	YOR002W	YGL020C	ALG6	GET1	-	MDM39	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-3.2555	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
206631	853429	852864	33735	33226	YJL024C	YGL020C	APS3	GET1	YKS7	MDM39	Negative Genetic	genetic	Schuldiner M (2005)	16269340	559292	559292	High Throughput	-2.959	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
