#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
96818	854748	851085	34930	31630	YIL062C	YLR370C	ARC15	ARC18	-	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96819	851085	854748	31630	34930	YLR370C	YIL062C	ARC18	ARC15	-	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96825	851085	853856	31630	34119	YLR370C	YKL013C	ARC18	ARC19	-	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96826	851085	855771	31630	35861	YLR370C	YNR035C	ARC18	ARC35	-	END9	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96827	855771	851085	35861	31630	YNR035C	YLR370C	ARC35	ARC18	END9	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96828	851085	851532	31630	32027	YLR370C	YDL029W	ARC18	ARP2	-	ACT2	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96829	851532	851085	32027	31630	YDL029W	YLR370C	ARP2	ARC18	ACT2	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96830	851085	853528	31630	33822	YLR370C	YJR065C	ARC18	ARP3	-	ACT4	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96831	853528	851085	33822	31630	YJR065C	YLR370C	ARP3	ARC18	ACT4	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96832	851085	853155	31630	33492	YLR370C	YGR240C	ARC18	PFK1	-	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96833	851085	854543	31630	34746	YLR370C	YOR361C	ARC18	PRT1	-	DNA26|CDC63	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
96842	852536	851085	32929	31630	YBR234C	YLR370C	ARC40	ARC18	-	-	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BioGRID
100269	851532	851085	32027	31630	YDL029W	YLR370C	ARP2	ARC18	ACT2	-	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BioGRID
100779	852536	851085	32929	31630	YBR234C	YLR370C	ARC40	ARC18	-	-	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BioGRID
109120	852536	851085	32929	31630	YBR234C	YLR370C	ARC40	ARC18	-	-	Synthetic Lethality	genetic	Tong AH (2001)	11743205	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
138790	851532	851085	32027	31630	YDL029W	YLR370C	ARP2	ARC18	ACT2	-	Affinity Capture-Western	physical	Humphries CL (2002)	12499356	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
138797	851532	851085	32027	31630	YDL029W	YLR370C	ARP2	ARC18	ACT2	-	Affinity Capture-Western	physical	Goode BL (2001)	11331312	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
138802	853528	851085	33822	31630	YJR065C	YLR370C	ARP3	ARC18	ACT4	-	Affinity Capture-Western	physical	Winter DC (1999)	10377407	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
138807	853528	851085	33822	31630	YJR065C	YLR370C	ARP3	ARC18	ACT4	-	Affinity Capture-Western	physical	Winter D (1997)	9210376	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
138946	855136	851085	35285	31630	YMR109W	YLR370C	MYO5	ARC18	-	-	Affinity Capture-Western	physical	Idrissi FZ (2002)	12429847	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
147040	852536	851085	32929	31630	YBR234C	YLR370C	ARC40	ARC18	-	-	Affinity Capture-MS	physical	Pan F (2004)	15485833	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
151014	853553	851085	33845	31630	YJR091C	YLR370C	JSN1	ARC18	PUF1	-	Co-localization	physical	Fehrenbacher KL (2005)	16107558	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
153383	854748	851085	34930	31630	YIL062C	YLR370C	ARC15	ARC18	-	-	Co-purification	physical	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
153384	851085	853528	31630	33822	YLR370C	YJR065C	ARC18	ARP3	-	ACT4	Co-purification	physical	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
153385	851085	851532	31630	32027	YLR370C	YDL029W	ARC18	ARP2	-	ACT2	Co-purification	physical	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
153386	851085	855771	31630	35861	YLR370C	YNR035C	ARC18	ARC35	-	END9	Co-purification	physical	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
153387	851085	853856	31630	34119	YLR370C	YKL013C	ARC18	ARC19	-	-	Co-purification	physical	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
153388	851085	854748	31630	34930	YLR370C	YIL062C	ARC18	ARC15	-	-	Co-purification	physical	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
164362	851532	851085	32027	31630	YDL029W	YLR370C	ARP2	ARC18	ACT2	-	Synthetic Lethality	genetic	D'Agostino JL (2005)	16183906	559292	559292	Low Throughput	-	-	inviable	certain mutants synthetic lethal with tagged ARC18	-	BioGRID
167110	855836	851085	35923	31630	YPL240C	YLR370C	HSP82	ARC18	HSP90	-	Synthetic Lethality	genetic	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167461	853422	851085	33729	31630	YJL030W	YLR370C	MAD2	ARC18	-	-	Synthetic Lethality	genetic	Daniel JA (2006)	16157669	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167742	855529	851085	35641	31630	YNL192W	YLR370C	CHS1	ARC18	USA4	-	Synthetic Lethality	genetic	Lesage G (2005)	15715908	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167799	852311	851085	32726	31630	YBR023C	YLR370C	CHS3	ARC18	CSD2|KTI2|DIT101|CAL1	-	Synthetic Lethality	genetic	Lesage G (2005)	15715908	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167854	852218	851085	32637	31630	YBL061C	YLR370C	SKT5	ARC18	CSD4|CAL2|CHS4	-	Synthetic Lethality	genetic	Lesage G (2005)	15715908	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167898	851041	851085	31594	31630	YLR330W	YLR370C	CHS5	ARC18	CAL3	-	Synthetic Lethality	genetic	Lesage G (2005)	15715908	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167950	853346	851085	33658	31630	YJL099W	YLR370C	CHS6	ARC18	CSD3	-	Synthetic Lethality	genetic	Lesage G (2005)	15715908	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
